,Name,Price,Company
0,Men Regular Fit Striped Spread Collar Casual Shirt,₹404,METRONAUT
1,Men Regular Fit Checkered Casual Shirt,₹313,METRONAUT
2,"Striped Men Hooded Neck Red, Black T-Shirt",₹157,HELMONT
3,"Solid Men Mandarin Collar Brown, Black T-Shirt",₹255,TRIPR
4,Striped Men Round Neck Blue T-Shirt,₹196,Eyebogler
5,"Solid Men Mandarin Collar Grey, Black T-Shirt",₹219,TRIPR
6,"Striped Men Round Neck Maroon, Grey T-Shirt",₹190,BLIVE
7,Color Block Men Round Neck Dark Blue T-Shirt,₹191,Billion
8,"Striped Men Round Neck Maroon, Grey T-Shirt",₹219,BLIVE
9,"Striped Men Round Neck Red, White T-Shirt",₹192,Eyebogler
10,Men Slim Fit Military Camouflage Spread Collar Casual S...,₹453,METRONAUT
11,Men Regular Fit Solid Casual Shirt,₹465,Roadster
12,"Striped Men Polo Neck White, Blue, Yellow T-Shirt",₹299,Eyebogler
13,Solid Men Mandarin Collar Blue T-Shirt,₹240,Reya
14,"Solid Men Round Neck Black, White T-Shirt",₹245,FastColors
15,Color Block Men Round Neck Grey T-Shirt,₹284,Eyebogler
16,Men Regular Fit Solid Spread Collar Casual Shirt,₹569,METRONAUT
17,Men Slim Fit Checkered Casual Shirt,₹313,METRONAUT
18,Striped Men Round Neck Blue T-Shirt,₹282,Reya
19,Printed Men Round Neck Yellow T-Shirt,₹175,BLIVE
20,Men Slim Fit Solid Casual Shirt,"₹1,159",Louis Philippe Jeans
21,Men Slim Fit Solid Casual Shirt,"₹1,159",Louis Philippe Jeans
22,"Solid Men Collared Neck White, Black T-Shirt",₹249,Eyebogler
23,Self Design Men Round Neck Black T-Shirt,₹289,MooNVellY
24,Men Slim Fit Solid Slim Collar Casual Shirt,₹400,Dennis Lingo
25,Printed Men Hooded Neck Black T-Shirt,₹237,TRIPR
26,Solid Men Mandarin Collar Dark Blue T-Shirt,₹319,Urbano Fashion
27,Men Slim Fit Solid Casual Shirt,"₹1,159",Louis Philippe Jeans
28,"PerfectFit Color Block Men V-Neck Black, Grey T-Shirt",₹191,Billion
29,Color Block Men Round Neck Yellow T-Shirt,₹199,Eyebogler
30,Men Slim Fit Checkered Casual Shirt,₹313,METRONAUT
31,"Solid Men Round Neck Black, Blue, Silver T-Shirt",₹349,FTX
32,"Solid Men Polo Neck Dark Blue, White T-Shirt",₹249,Eyebogler
33,"Striped Men Round Neck Dark Blue, Grey T-Shirt",₹183,BLIVE
34,"Color Block Men Round Neck Black, White T-Shirt",₹245,Try This
35,"Striped Men Round Neck Yellow, Blue, White T-Shirt",₹299,Eyebogler
36,Color Block Men Polo Neck Multicolor T-Shirt,₹719,LEE
37,Men Regular Fit Checkered Spread Collar Casual Shirt,₹453,PROVOGUE
38,"Color Block Men Round Neck Black, Red T-Shirt",₹190,TRIPR
39,"Solid Men Henley Neck Maroon, Dark Blue T-Shirt",₹335,BLIVE
40,Printed Men Round Neck Black T-Shirt,₹534,REEBOK
41,Men Regular Fit Solid Casual Shirt,₹465,Roadster
42,"Color Block Men Round Neck Brown, Black T-Shirt",₹219,TRIPR
43,"Solid Men Mandarin Collar Brown, Black T-Shirt",₹255,TRIPR
44,"Solid Men Round Neck Blue, Grey T-Shirt",₹159,FastColors
45,"Solid Men Round Neck White, Blue T-Shirt",₹249,FastColors
46,Men Regular Fit Checkered Casual Shirt,₹509,METRONAUT
47,Men Slim Fit Military Camouflage Spread Collar Casual S...,₹453,METRONAUT
48,Men Regular Fit Solid Casual Shirt,₹249,GESPO
49,Striped Men Round Neck Black T-Shirt,₹282,Reya
50,"Solid Men Round Neck Grey, Black T-Shirt",₹299,SCOTT INTERNATIONAL
51,Self Design Men Round Neck Black T-Shirt,₹747,REEBOK
52,Striped Men Round Neck Dark Blue T-Shirt,₹159,Jump Cuts
53,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
54,"Color Block Men Round Neck Grey, Black T-Shirt",₹219,TRIPR
55,"Striped Men Round Neck Maroon, Grey T-Shirt",₹219,BLIVE
56,Solid Men Mandarin Collar Dark Blue T-Shirt,₹319,Urbano Fashion
57,Men Slim Fit Solid Casual Shirt,"₹1,159",Louis Philippe Jeans
58,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
59,Men Slim Fit Checkered Casual Shirt,₹313,METRONAUT
60,Striped Men Hooded Neck Maroon T-Shirt,₹159,HELMONT
61,Men Slim Fit Solid Slim Collar Casual Shirt,₹435,Dennis Lingo
62,Solid Men Mandarin Collar Black T-Shirt,₹240,Reya
63,"Solid Men Round Neck Black, Blue, Silver T-Shirt",₹349,FTX
64,Men Regular Fit Solid Mandarin Collar Casual Shirt,₹329,Qlonz store
65,Men Regular Fit Striped Casual Shirt,₹313,icome
66,Men Slim Fit Checkered Casual Shirt,₹279,Surhi
67,Men Slim Fit Printed Casual Shirt,"₹1,214",Louis Philippe Sport
68,Solid Men Henley Neck Dark Blue T-Shirt,₹175,BLIVE
69,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
70,Striped Men V Neck Blue T-Shirt,₹299,Eyebogler
71,Solid Men Round Neck Grey T-Shirt,₹489,REEBOK
72,Printed Men Round Neck Dark Blue T-Shirt,₹172,TRIPR
73,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
74,"Solid Men Round Neck Black, White T-Shirt",₹245,FastColors
75,Men Slim Fit Printed Casual Shirt,₹509,METRONAUT
76,Men Slim Fit Solid Spread Collar Casual Shirt,₹295,X-MEN
77,Solid Men Hooded Neck Black T-Shirt,₹299,Eyebogler
78,Printed Men Round Neck Pink T-Shirt,₹172,TRIPR
79,Men Regular Fit Checkered Spread Collar Casual Shirt,₹453,PROVOGUE
80,Men Regular Fit Solid Button Down Collar Casual Shirt,₹349,VeBNoR
81,Color Block Men Round Neck Multicolor T-Shirt,₹175,TRIPR
82,"Color Block Men Hooded Neck White, Red, Black T-Shirt",₹299,Eyebogler
83,Printed Men Round Neck Black T-Shirt,₹534,REEBOK
84,Men Regular Fit Solid Button Down Collar Formal Shirt,₹349,VeBNoR
85,"Solid Men Round Neck White, Maroon T-Shirt",₹245,FastColors
86,Printed Men Round Neck Red T-Shirt,₹159,BLIVE
87,Men Regular Fit Solid Casual Shirt,₹465,Roadster
88,Solid Men Round Neck Multicolor T-Shirt,₹370,SCOTT INTERNATIONAL
89,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
90,Solid Men Round Neck Black T-Shirt,₹249,Smartees
91,Men Regular Fit Checkered Casual Shirt,₹509,METRONAUT
92,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
93,Printed Men Round Neck White T-Shirt,₹219,Smartees
94,Solid Men Hooded Neck Yellow T-Shirt,₹159,HELMONT
95,Men Slim Fit Military Camouflage Spread Collar Casual S...,₹453,METRONAUT
96,Striped Men Polo Neck Pink T-Shirt,₹349,Eyebogler
97,Men Regular Fit Solid Spread Collar Casual Shirt,₹249,Pepzo
98,"Color Block Men Round Neck Light Blue, White T-Shirt",₹234,AUSK
99,"Solid Men Round Neck Grey, Black T-Shirt",₹299,SCOTT INTERNATIONAL
100,Men Regular Fit Solid Button Down Collar Casual Shirt,₹349,VeBNoR
101,Printed Men Hooded Neck Black T-Shirt,₹237,TRIPR
102,"Solid Men Mandarin Collar Dark Green, Black T-Shirt",₹269,TRIPR
103,Self Design Men Round Neck Black T-Shirt,₹747,REEBOK
